;AGRO3;SLCE3;BEEF3;BRFS3;JBSS3;MRFG3
20150102;865;1360;948;6218;1058;566
20150105;870;1360;910;6100;1064;522
20150106;884;1376;891;6155;1041;512
20150107;884;1420;945;6430;1064;531
20150108;870;1424;940;6315;1070;545
20150109;874;1410;928;6178;1043;550
20150112;870;1444;900;6229;1050;535
20150113;860;1485;918;6073;1015;519
20150114;860;1480;918;6178;1013;482
20150115;850;1485;965;6208;1053;515
20150116;845;1405;975;6360;1115;538
20150119;850;1405;920;6319;1081;509
20150120;845;1395;896;6081;1055;490
20150121;840;1448;915;6203;1085;498
20150122;840;1468;900;6211;1107;530
20150123;840;1477;886;6165;1096;505
20150126;850;1451;875;6230;1110;495
20150127;830;1466;870;6241;1159;506
20150128;840;1437;852;6269;1119;492
20150129;839;1425;862;6290;1169;500
20150130;849;1430;863;6438;1144;500
20150202;840;1423;859;6420;1144;491
20150203;830;1400;830;6478;1145;482
20150204;835;1420;855;6500;1121;465
20150205;830;1407;844;6500;1112;472
20150206;825;1370;840;6460;1130;454
20150209;830;1393;850;6460;1128;462
20150210;833;1385;825;6470;1117;455
20150211;830;1370;800;6324;1110;445
20150212;838;1361;787;6405;1144;440
20150213;870;1356;810;6399;1162;462
20150218;865;1413;831;6482;1188;479
20150219;907;1407;853;6599;1211;487
20150220;870;1443;860;6560;1198;485
20150223;890;1459;892;6629;1220;494
20150224;890;1430;867;6669;1207;505
20150225;890;1450;880;6640;1217;500
20150226;900;1435;898;6700;1220;500
20150227;900;1381;899;6443;1252;482
20150302;900;1358;894;6390;1267;484
20150303;895;1339;894;6440;1245;468
20150304;880;1380;892;6270;1242;445
20150305;869;1414;870;6369;1275;448
20150306;868;1408;815;6331;1313;430
20150309;860;1389;751;6340;1318;404
20150310;860;1383;760;6242;1354;433
20150311;860;1412;765;6229;1308;419
20150312;860;1460;780;6257;1287;421
20150313;849;1524;770;6236;1290;417
20150316;850;1500;744;6209;1281;409
20150317;850;1592;760;6290;1302;425
20150318;857;1587;769;6395;1330;453
20150319;868;1630;783;6397;1385;429
20150320;867;1673;818;6375;1410;438
20150323;864;1674;800;6300;1418;430
20150324;865;1666;785;6310;1392;425
20150325;865;1680;787;6369;1411;414
20150326;865;1660;745;6288;1397;404
20150327;888;1731;716;6328;1397;398
20150330;875;1715;739;6300;1416;405
20150331;887;1751;735;6330;1420;404
20150401;890;1770;730;6336;1483;408
20150402;867;1771;740;6345;1530;415
20150406;875;1735;780;6450;1547;454
20150407;880;1721;785;6470;1587;445
20150408;883;1753;800;6501;1618;440
20150409;887;1754;795;6525;1620;435
20150410;890;1823;820;6395;1641;450
20150413;885;1747;812;6344;1600;435
20150414;890;1800;801;6295;1516;415
20150415;885;1760;800;6287;1530;416
20150416;885;1764;785;6313;1557;417
20150417;885;1765;765;6200;1550;410
20150420;880;1810;780;6178;1553;400
20150422;886;1801;775;6170;1557;410
20150423;900;1816;765;6230;1567;425
20150424;910;1783;769;6101;1544;419
20150427;909;1780;756;6036;1490;415
20150428;900;1752;775;5975;1510;410
20150429;900;1750;805;6512;1500;407
20150430;938;1745;877;6440;1554;424
20150504;925;1727;894;6475;1565;431
20150505;938;1725;960;6450;1571;474
20150506;932;1725;927;6380;1550;450
20150507;938;1725;900;6391;1563;436
20150508;939;1719;900;6460;1652;440
20150511;935;1650;890;6508;1654;438
20150512;935;1616;887;6428;1650;425
20150513;933;1592;896;6407;1660;407
20150514;930;1663;950;6485;1660;407
20150515;944;1640;960;6550;1649;408
20150518;969;1672;940;6526;1619;404
20150519;960;1686;1000;6580;1688;417
20150520;998;1645;1040;6503;1690;420
20150521;1000;1620;1045;6480;1678;430
20150522;982;1616;1030;6409;1645;424
20150525;1005;1620;1018;6520;1665;414
20150526;1005;1611;1003;6365;1628;420
20150527;1005;1607;1000;6485;1660;421
20150528;1009;1579;1015;6476;1661;419
20150529;1000;1580;1020;6445;1560;407
20150601;1006;1684;1002;6450;1625;406
20150602;1023;1676;1009;6580;1615;405
20150603;1022;1690;1002;6520;1570;401
20150605;1020;1688;1000;6640;1586;401
20150608;1049;1735;980;6630;1588;386
20150609;1035;1698;1000;6695;1585;390
20150610;1090;1686;1008;6885;1617;390
20150611;1108;1694;1019;6817;1597;405
20150612;1119;1695;1045;6783;1590;409
20150615;1109;1690;1040;6740;1588;425
20150616;1110;1704;1044;6825;1657;450
20150617;1115;1737;1050;6777;1655;450
20150618;1119;1730;1069;6770;1684;470
20150619;1118;1719;1086;6786;1646;483
20150622;1099;1750;1105;6862;1665;530
20150623;1085;1750;1120;6846;1604;570
20150624;1108;1730;1128;6825;1596;550
20150625;1090;1726;1120;6745;1535;538
20150626;1115;1750;1148;6750;1610;560
20150629;1114;1700;1130;6570;1593;564
20150630;1115;1730;1148;6568;1636;569
20150701;1115;1771;1130;6381;1590;565
20150702;1117;1730;1090;6538;1620;547
20150703;1117;1739;1100;6550;1602;532
20150706;1100;1745;1068;6563;1599;546
20150707;1098;1725;1100;6907;1596;543
20150708;1091;1700;1075;6960;1589;555
20150710;1120;1815;1075;6926;1590;559
20150713;1101;1741;1070;6940;1598;559
20150714;1119;1740;1070;6910;1580;549
20150715;1125;1788;1100;6870;1539;555
20150716;1115;1785;1130;6901;1587;560
20150717;1118;1804;1100;6900;1576;555
20150720;1120;1827;1125;6870;1505;540
20150721;1130;1780;1101;6895;1497;536
20150722;1120;1760;1085;6855;1508;531
20150723;1115;1732;1050;6800;1539;518
20150724;1110;1685;1000;6735;1480;502
20150727;1105;1672;1010;6724;1430;499
20150728;1100;1635;1064;6820;1457;516
20150729;1104;1730;1073;6898;1415;518
20150730;1112;1702;1094;6909;1509;539
20150731;1120;1760;1130;7187;1541;531
20150803;1118;1699;1120;7160;1487;519
20150804;1115;1747;1144;7195;1495;539
20150805;1114;1790;1099;7207;1544;533
20150806;1110;1885;1070;7175;1520;520
20150807;1112;1850;1060;7075;1473;527
20150810;1100;1805;1075;7090;1492;561
20150811;1100;1741;1070;7175;1487;575
20150812;1100;1770;1105;7070;1520;602
20150813;1091;1810;1126;7150;1569;610
20150814;1091;1800;1160;7100;1507;626
20150817;1100;1780;1140;7060;1434;625
20150818;1098;1730;1159;7077;1485;630
20150819;1094;1702;1130;7000;1459;615
20150820;1095;1763;1117;6947;1480;625
20150821;1098;1735;1109;6727;1419;626
20150824;1084;1659;1065;6622;1402;615
20150825;1085;1624;1075;6678;1360;614
20150826;1079;1650;1101;6825;1410;642
20150827;1031;1600;1112;6906;1446;643
20150828;1049;1606;1148;6925;1419;641
20150831;1048;1609;1164;6952;1415;640
20150901;1049;1597;1158;6909;1427;641
20150902;1056;1581;1205;7001;1537;654
20150903;1079;1670;1200;7150;1542;664
20150904;1118;1697;1236;7155;1571;665
20150908;1120;1632;1248;7149;1600;678
20150909;1120;1642;1233;7045;1607;646
20150910;1120;1650;1230;6945;1660;644
20150911;1120;1628;1265;6998;1720;663
20150914;1120;1651;1280;7000;1700;681
20150915;1113;1610;1290;7030;1650;672
20150916;1119;1590;1310;7025;1641;690
20150917;1120;1690;1325;7113;1654;701
20150918;1110;1710;1292;6945;1627;681
20150921;1119;1740;1297;6873;1649;672
20150922;1110;1716;1283;6910;1640;669
20150923;1112;1720;1303;6910;1701;671
20150924;1110;1755;1285;6929;1678;686
20150925;1112;1790;1296;6956;1683;668
20150928;1108;1770;1295;6968;1674;670
20150929;1110;1790;1273;7021;1659;680
20150930;1121;1790;1334;7059;1680;717
20151001;1110;1770;1360;7003;1649;645
20151002;1118;1775;1375;7145;1682;683
20151005;1133;1781;1376;7132;1680;686
20151006;1130;1758;1325;6890;1620;698
20151007;1181;1786;1330;6647;1575;681
20151008;1217;1799;1280;6600;1560;688
20151009;1233;1700;1277;6662;1500;666
20151013;1223;1750;1284;6607;1500;649
20151014;1235;1690;1245;6420;1474;624
20151015;1244;1745;1288;6596;1482;643
20151016;1250;1724;1316;6730;1512;648
20151019;1295;1787;1321;6680;1475;641
20151020;1296;1750;1300;6769;1485;630
20151021;1299;1759;1293;6855;1496;625
20151022;1300;1740;1310;6967;1540;640
20151023;1295;1764;1301;6941;1515;646
20151026;1299;1775;1326;6888;1517;647
20151027;1328;1750;1369;6871;1559;657
20151028;1324;1735;1342;6872;1534;649
20151029;1141;1769;1305;6645;1460;653
20151030;1070;1722;1276;6010;1425;637
20151103;1090;1850;1295;5782;1384;648
20151104;1119;1819;1329;5593;1437;640
20151105;1137;1781;1295;5814;1422;636
20151106;1159;1749;1295;5600;1400;644
20151109;1163;1755;1262;5570;1395;642
20151110;1155;1766;1260;5391;1387;635
20151111;1137;1779;1278;5581;1416;648
20151112;1144;1780;1246;5498;1426;644
20151113;1151;1775;1245;5557;1410;625
20151116;1137;1710;1224;5562;1408;639
20151117;1130;1770;1245;5645;1390;656
20151118;1130;1780;1218;5550;1400;650
20151119;1129;1874;1204;5624;1409;635
20151123;1123;1795;1178;5667;1424;659
20151124;1106;1716;1150;5602;1405;673
20151125;1098;1720;1180;5755;1374;649
20151126;1084;1715;1170;5704;1348;633
20151127;1077;1735;1140;5570;1346;633
20151130;1054;1723;1142;5504;1242;588
20151201;1055;1646;1140;5630;1168;584
20151202;1045;1654;1129;5622;1220;614
20151203;1045;1700;1125;5675;1268;619
20151204;1047;1660;1110;5722;1225;609
20151207;1075;1650;1165;5789;1236;625
20151208;1075;1610;1140;5763;1200;623
20151209;1092;1624;1135;5802;1225;634
20151210;1095;1592;1170;5760;1236;635
20151211;1100;1595;1180;5751;1271;642
20151214;1100;1565;1151;5710;1274;626
20151215;1100;1575;1110;5655;1226;631
20151216;1110;1600;1119;5696;1207;622
20151217;1109;1648;1140;5735;1255;622
20151218;1110;1617;1183;5723;1265;625
20151221;1105;1620;1169;5800;1240;614
20151222;1108;1625;1220;5902;1243;620
20151223;1106;1645;1268;5911;1253;635
20151228;1100;1659;1276;5903;1237;635
20151229;1096;1643;1278;5735;1240;623
20151230;1103;1645;1330;5540;1235;635
20160104;1095;1612;1250;5422;1205;623
20160105;1099;1585;1294;5525;1145;595
20160106;1090;1640;1275;5415;1040;592
20160107;1080;1625;1211;5202;1100;567
20160108;1092;1607;1195;5302;1120;590
20160111;1069;1600;1218;5178;1142;600
20160112;1065;1605;1215;5027;1110;584
20160113;1045;1600;1191;4958;1086;573
20160114;1045;1648;1147;4951;1065;577
20160115;1040;1636;1120;4805;1036;560
20160118;1040;1641;1125;4673;1072;560
20160119;1025;1631;1155;4715;1048;560
20160120;1006;1600;1150;4700;1053;548
20160121;999;1620;1150;4700;1100;562
20160122;993;1651;1186;4700;1064;585
20160126;925;1616;1155;4562;986;572
20160127;875;1600;1170;4654;841;560
20160128;919;1600;1191;4615;935;595
20160129;950;1636;1228;4823;1080;610
20160201;953;1622;1225;4863;1077;612
20160202;943;1567;1200;4785;1006;596
20160203;919;1680;1198;4935;1035;601
20160204;902;1650;1200;4993;1088;593
20160205;916;1670;1209;5081;1058;605
20160210;930;1741;1211;5070;1037;600
20160211;976;1701;1140;4967;1006;590
20160212;1015;1730;1124;5070;1005;593
20160215;1031;1728;1128;5116;1008;586
20160216;1061;1770;1130;5211;1071;602
20160217;1110;1789;1135;5228;1135;600
20160218;1105;1800;1140;5326;1095;592
20160219;1105;1820;1182;5371;1112;613
20160222;1117;1841;1235;5550;1185;648
20160223;1115;1845;1200;5550;1115;611
20160224;1100;1839;1220;5494;1198;610
20160225;1090;1851;1220;5416;1159;623
20160226;1091;1830;1155;5000;1118;597
20160229;1115;1840;1181;5140;1140;625
20160301;1100;1850;1173;5291;1165;629
20160302;1105;1835;1196;5253;1190;638
20160303;1100;1710;1227;5272;1257;641
20160304;1094;1674;1179;5219;1088;647
20160307;1103;1681;1174;5286;1098;645
20160308;1115;1580;1135;5245;1118;629
20160309;1120;1609;1170;5350;1187;625
20160310;1124;1652;1150;5374;1225;641
20160311;1126;1642;1125;5250;1179;656
20160314;1130;1610;1136;5255;1176;668
20160315;1118;1610;1120;5240;1083;650
20160316;1114;1602;1187;5289;1133;675
20160317;1104;1581;1160;5429;1200;690
20160318;1104;1621;1140;5410;1195;672
20160321;1118;1575;1145;5531;1159;684
20160322;1113;1625;1145;5524;1115;679
20160323;1118;1647;1155;5242;1116;672
20160324;1118;1620;1155;5212;1091;675
20160328;1120;1629;1140;5328;1078;685
20160329;1100;1672;1130;5363;1061;683
20160330;1110;1656;1120;5301;1062;680
20160331;1130;1580;1119;5131;1095;649
20160401;1134;1650;1137;5160;1075;677
20160404;1139;1677;1085;4999;997;642
20160405;1136;1619;1085;5016;988;636
20160406;1134;1620;1077;5001;989;655
20160407;1130;1526;1050;5005;1020;664
20160408;1145;1543;1025;4965;962;643
20160411;1143;1514;1030;4838;916;637
20160412;1143;1490;1045;4829;909;638
20160413;1159;1530;1065;4807;918;649
20160414;1186;1556;1070;4804;975;650
20160415;1215;1571;1073;4930;965;646
20160418;1230;1520;1052;4939;945;629
20160419;1258;1550;1081;4891;967;652
20160420;1251;1571;1101;4825;940;649
20160422;1223;1575;1116;4800;893;639
20160425;1215;1562;1115;4790;925;631
20160426;1183;1571;1115;4906;940;630
20160427;1171;1543;1101;4941;920;655
20160428;1188;1566;1065;4900;917;652
20160429;1200;1552;1057;4920;904;649
20160502;1192;1518;1035;4846;881;630
20160503;1192;1490;1030;4681;855;630
20160504;1192;1490;1029;4668;905;637
20160505;1194;1539;1005;4690;885;640
20160506;1195;1541;995;4675;885;625
20160509;1160;1510;975;4592;847;615
20160510;1180;1510;994;4930;893;615
20160511;1185;1550;1048;4723;871;619
20160512;1185;1536;1040;4760;1054;637
20160513;1187;1500;1020;4755;1050;630
20160516;1190;1563;1010;4726;1222;650
20160517;1190;1557;999;4652;1165;647
20160518;1180;1545;986;4654;1165;633
20160519;1172;1512;989;4623;1123;648
20160520;1185;1482;972;4586;1100;627
20160523;1178;1462;966;4490;1055;631
20160524;1170;1479;965;4550;1042;640
20160525;1155;1492;953;4602;1064;646
20160527;1155;1492;947;4600;1025;639
20160530;1174;1500;944;4550;1020;618
20160531;1187;1496;947;4567;1000;629
20160601;1175;1484;930;4634;1032;625
20160602;1174;1500;950;4815;1023;620
20160603;1166;1487;937;4883;1079;611
20160606;1150;1485;925;4790;1041;607
20160607;1127;1485;924;4788;1040;616
20160608;1127;1536;924;4870;1070;614
20160609;1128;1535;950;4814;1035;614
20160610;1120;1520;943;4709;1022;600
20160613;1100;1512;921;4677;1041;600
20160614;1100;1488;911;4542;1008;581
20160615;1121;1490;912;4548;976;581
20160616;1101;1500;913;4502;950;586
20160617;1128;1485;900;4500;962;572
20160620;1108;1498;900;4555;939;570
20160621;1110;1496;895;4580;949;588
20160622;1110;1450;875;4410;906;578
20160623;1199;1471;929;4519;962;590
20160624;1185;1490;909;4380;928;575
20160627;1190;1490;880;4367;933;573
20160628;1196;1469;887;4326;920;567
20160629;1190;1480;899;4486;995;567
20160630;1197;1480;916;4513;1000;562
20160701;1211;1479;910;4702;950;561
20160704;1194;1494;912;4892;991;578
20160705;1230;1465;902;4813;953;562
20160706;1240;1420;893;4876;969;555
20160707;1255;1409;915;4901;956;563
20160708;1275;1384;918;4950;988;560
20160711;1265;1445;894;5062;965;556
20160712;1261;1419;915;5120;956;544
20160713;1221;1439;900;5051;1000;540
20160714;1260;1468;902;5092;982;538
20160715;1245;1440;893;5041;1011;542
20160718;1244;1448;895;5097;1005;540
20160719;1270;1500;883;5096;1073;547
20160720;1279;1510;890;5070;1041;548
20160721;1270;1500;950;5055;1055;571
20160722;1270;1535;947;5165;1043;565
20160725;1303;1492;938;5155;1051;551
20160726;1288;1466;956;5123;1035;553
20160727;1281;1481;950;5073;1040;541
20160728;1256;1498;949;5100;1046;556
20160729;1273;1500;960;5430;1090;568
20160801;1272;1521;955;5323;1102;556
20160802;1262;1471;951;5250;1087;544
20160803;1264;1456;966;5200;1110;554
20160804;1257;1469;970;5229;1130;556
20160805;1255;1466;951;5245;1104;555
20160808;1260;1484;956;5330;1131;560
20160809;1260;1532;952;5364;1112;560
20160810;1255;1585;950;5269;1115;549
20160811;1209;1545;933;5297;1118;545
20160812;1216;1527;938;5387;1103;534
20160815;1220;1519;927;5460;1116;533
20160816;1220;1520;920;5488;1084;527
20160817;1210;1487;922;5399;1100;527
20160818;1199;1466;914;5385;1106;525
20160819;1195;1480;909;5380;1169;521
20160822;1226;1449;907;5318;1166;512
20160823;1226;1430;914;5352;1195;520
20160824;1224;1413;930;5382;1200;517
20160825;1219;1447;934;5387;1207;517
20160826;1213;1422;928;5379;1234;514
20160829;1223;1430;933;5395;1260;512
20160830;1202;1449;943;5391;1266;510
20160831;1207;1447;944;5385;1250;511
20160901;1191;1440;961;5318;1250;513
20160902;1229;1445;991;5475;1245;522
20160905;1200;1436;989;5479;1120;528
20160906;1175;1419;981;5547;1101;517
20160908;1155;1419;980;5604;1182;507
20160909;1138;1394;965;5478;1167;503
20160912;1101;1388;948;5394;1162;496
20160913;1101;1387;944;5331;1179;496
20160914;1143;1379;959;5331;1177;500
20160915;1125;1379;975;5320;1196;512
20160916;1106;1338;997;5346;1200;510
20160919;1113;1350;1010;5359;1200;526
20160920;1105;1346;986;5355;1214;519
20160921;1150;1359;982;5420;1220;519
20160922;1133;1395;973;5485;1220;516
20160923;1160;1430;979;5481;1223;519
20160926;1141;1418;960;5442;1185;511
20160927;1138;1409;969;5502;1193;515
20160928;1125;1408;960;5517;1209;519
20160929;1124;1418;960;5461;1178;520
20160930;1148;1406;960;5532;1182;522
20161003;1146;1415;993;5610;1210;536
20161004;1140;1426;1002;5597;1211;536
20161005;1141;1430;1012;5690;1286;540
20161006;1135;1441;1020;5732;1253;546
20161007;1141;1433;1022;5761;1235;563
20161010;1148;1434;1013;5798;1254;566
20161011;1137;1434;1024;5698;1257;568
20161013;1135;1435;1025;5527;1250;599
20161014;1130;1440;1045;5500;1269;606
20161017;1128;1450;1030;5435;1270;593
20161018;1138;1472;1025;5427;1259;596
20161019;1134;1468;1020;5329;1250;581
20161020;1143;1461;1011;5376;1206;581
20161021;1146;1500;1014;5344;1198;592
20161024;1125;1525;1043;5322;1204;598
20161025;1115;1520;1025;5270;1179;600
